dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
EPFL,log2,32,32,32125,444,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,0
EPFL,log2,32,32,32125,444,1,4,2,0,0,0,0,0,8589934592,17179869184,0,0,0,0.0,0.0,1 2
EPFL,log2,32,32,32125,444,1,4,4,0,0,0,0,0,8589934592,34359738368,0,0,0,0.0,0.0,3 4 5 6
EPFL,log2,32,32,32125,444,1,4,8,0,0,0,0,0,8589934592,68719476736,0,0,0,0.0,0.0,7 8 9 10 11 12 13 14
EPFL,log2,32,32,32125,444,1,4,16,0,0,0,0,0,8589934592,137438953472,0,0,0,0.0,0.0,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
EPFL,sin,24,25,5466,225,1,4,1,0,0,0,0,0,836755456,836755456,0,1,1,1.978561185,3409.4708228567447,31
EPFL,sin,24,25,5466,225,1,4,2,0,0,0,0,0,418922496,837718016,0,2,1,0.909127197,3409.4708228567447,32 33
EPFL,sin,24,25,5466,225,1,4,4,0,0,0,0,0,212115456,832942080,0,4,1,0.447844601,3409.4708228567447,34 35 36 37
EPFL,sin,24,25,5466,225,1,4,8,0,0,0,0,0,83214336,637767680,0,8,1,0.204351675,3409.4708228567447,38 39 40 41 42 43 44 45
EPFL,sin,24,25,5466,225,1,4,16,0,0,0,0,0,44253184,662913024,0,16,1,0.10834202300000001,3409.4708228567447,46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61
MCNC,apex2,39,3,488,29,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,62
MCNC,apex2,39,3,488,29,1,4,2,0,0,0,0,0,8589934592,17179869184,0,0,0,0.0,0.0,63 64
MCNC,apex2,39,3,488,29,1,4,4,0,0,0,0,0,8589934592,34359738368,0,0,0,0.0,0.0,65 66 67 68
MCNC,apex2,39,3,488,29,1,4,8,0,0,0,0,0,8589934592,68719476736,0,0,0,0.0,0.0,69 70 71 72 73 74 75 76
MCNC,apex2,39,3,488,29,1,4,16,0,0,0,0,0,8589934592,137438953472,0,0,0,0.0,0.0,77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92
MCNC,b3,32,20,578,28,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,93
MCNC,b3,32,20,578,28,1,4,2,0,0,0,0,0,8589934592,17179869184,0,0,0,0.0,0.0,94 95
MCNC,b3,32,20,578,28,1,4,4,0,0,0,0,0,8589934592,34359738368,0,0,0,0.0,0.0,96 97 98 99
MCNC,b3,32,20,578,28,1,4,8,0,0,0,0,0,6984515584,54531043328,0,8,1,7.127369673,512.8894182210241,100 101 102 103 104 105 106 107
MCNC,b3,32,20,578,28,1,4,16,0,0,0,0,0,3293368320,51147804672,0,16,1,3.528333335,512.8894182210241,108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123
MCNC,b4,33,23,427,19,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,124
MCNC,b4,33,23,427,19,1,4,2,0,0,0,0,0,8589934592,17179869184,0,0,0,0.0,0.0,125 126
MCNC,b4,33,23,427,19,1,4,4,0,0,0,0,0,8589934592,34359738368,0,0,0,0.0,0.0,127 128 129 130
MCNC,b4,33,23,427,19,1,4,8,0,0,0,0,0,8589934592,68719476736,0,0,0,0.0,0.0,131 132 133 134 135 136 137 138
MCNC,b4,33,23,427,19,1,4,16,0,0,0,0,0,7386836992,116040916992,0,16,1,4.774390476,365.8322130825562,139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154
MCNC,b9,41,21,172,10,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,155
