dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
EPFL,log2,32,32,32125,444,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,0
EPFL,log2,32,32,32125,444,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,1
EPFL,log2,32,32,32125,444,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,2
EPFL,sin,24,25,5466,225,1,1,1,0,0,0,0,0,836923392,836923392,0,1,1,2.536495656,3409.4708228567447,3
EPFL,sin,24,25,5466,225,1,2,1,0,0,0,0,0,836841472,836841472,0,1,1,2.0616842220000002,3409.4708228567447,4
EPFL,sin,24,25,5466,225,1,4,1,0,0,0,0,0,836657152,836657152,0,1,1,1.972766066,3409.4708228567447,5
MCNC,apex2,39,3,488,29,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,6
MCNC,apex2,39,3,488,29,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,7
MCNC,apex2,39,3,488,29,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,8
MCNC,b3,32,20,578,28,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,9
MCNC,b3,32,20,578,28,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,10
MCNC,b3,32,20,578,28,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,11
MCNC,b4,33,23,427,19,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,12
MCNC,b4,33,23,427,19,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,13
MCNC,b4,33,23,427,19,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,14
MCNC,b9,41,21,172,10,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,15
MCNC,b9,41,21,172,10,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,16
MCNC,b9,41,21,172,10,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,17
MCNC,bc0,26,11,1630,31,1,1,1,0,0,0,0,0,2706575360,2706575360,0,1,1,3.725571114,1426.9733695031107,18
MCNC,bc0,26,11,1630,31,1,2,1,0,0,0,0,0,2706444288,2706444288,0,1,1,2.976276776,1426.9733695031107,19
MCNC,bc0,26,11,1630,31,1,4,1,0,0,0,0,0,2706018304,2706018304,0,1,1,2.77545469,1426.9733695031107,20
MCNC,bca,26,46,3743,26,1,1,1,0,0,0,0,0,5601624064,5601624064,0,1,1,8.576106034,3458.4838042842657,21
MCNC,bca,26,46,3743,26,1,2,1,0,0,0,0,0,5601382400,5601382400,0,1,1,6.999163353,3458.4838042842657,22
MCNC,bca,26,46,3743,26,1,4,1,0,0,0,0,0,5601177600,5601177600,0,1,1,6.484686629,3458.4838042842657,23
MCNC,bcb,26,39,3381,26,1,1,1,0,0,0,0,0,5131698176,5131698176,0,1,1,7.832790028000001,3117.986744085512,24
MCNC,bcb,26,39,3381,26,1,2,1,0,0,0,0,0,5131591680,5131591680,0,1,1,6.328668023,3117.986744085512,25
MCNC,bcb,26,39,3381,26,1,4,1,0,0,0,0,0,5131300864,5131300864,0,1,1,5.857200388,3117.986744085512,26
MCNC,bcc,26,45,3313,25,1,1,1,0,0,0,0,0,4871450624,4871450624,0,1,1,7.625818655,3073.953312947363,27
MCNC,bcc,26,45,3313,25,1,2,1,0,0,0,0,0,4871196672,4871196672,0,1,1,6.1395194470000005,3073.953312947363,28
MCNC,bcc,26,45,3313,25,1,4,1,0,0,0,0,0,4871168000,4871168000,0,1,1,5.696990512,3073.953312947363,29
MCNC,bcd,26,38,2372,25,1,1,1,0,0,0,0,0,3931631616,3931631616,0,1,1,5.556860438,2182.068735903628,30
