dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
EPFL,log2,32,32,32125,444,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,0
EPFL,log2,32,32,32125,444,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,1
EPFL,sin,24,25,5466,225,0,1,1,0,0,0,0,0,837013504,837013504,0,1,1,44.241837381,3409.4708228567447,2
EPFL,sin,24,25,5466,225,1,1,1,0,0,0,0,0,836902912,836902912,0,1,1,2.532736823,3409.4708228567447,3
MCNC,apex2,39,3,488,29,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,4
MCNC,apex2,39,3,488,29,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,5
MCNC,b3,32,20,578,28,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,6
MCNC,b3,32,20,578,28,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,7
MCNC,b4,33,23,427,19,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,8
MCNC,b4,33,23,427,19,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,9
MCNC,b9,41,21,172,10,0,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,10
MCNC,b9,41,21,172,10,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,11
MCNC,bc0,26,11,1630,31,0,1,1,0,0,0,0,0,2706702336,2706702336,0,1,1,52.041742514,1426.9733695031107,12
MCNC,bc0,26,11,1630,31,1,1,1,0,0,0,0,0,2706485248,2706485248,0,1,1,3.713193291,1426.9733695031107,13
MCNC,bca,26,46,3743,26,0,1,1,0,0,0,0,0,5601701888,5601701888,0,0,0,120.250128948,0.0,14
MCNC,bca,26,46,3743,26,1,1,1,0,0,0,0,0,5601538048,5601538048,0,1,1,8.597322375,3458.4838042842657,15
MCNC,bcb,26,39,3381,26,0,1,1,0,0,0,0,0,5131714560,5131714560,0,1,1,110.014298339,3117.986744085512,16
MCNC,bcb,26,39,3381,26,1,1,1,0,0,0,0,0,5131722752,5131722752,0,1,1,7.838325655,3117.986744085512,17
MCNC,bcc,26,45,3313,25,0,1,1,0,0,0,0,0,4871442432,4871442432,0,1,1,107.28230273599999,3073.953312947363,18
MCNC,bcc,26,45,3313,25,1,1,1,0,0,0,0,0,4871356416,4871356416,0,1,1,7.624218717000001,3073.953312947363,19
MCNC,bcd,26,38,2372,25,0,1,1,0,0,0,0,0,3931697152,3931697152,0,1,1,76.608934365,2182.068735903628,20
MCNC,bcd,26,38,2372,25,1,1,1,0,0,0,0,0,3931635712,3931635712,0,1,1,5.530021902,2182.068735903628,21
