type,size,repetition,time,status
tc,20,1,50.47,Optimal
tc,20,2,549.35,Optimal
tc,20,3,376.55,Optimal
tc,20,4,18.57,Optimal
tc,20,5,230.9,Optimal
tc,25,1,1079.71,Optimal
tc,25,2,36000,Feasible
tc,25,3,36000,Feasible
tc,25,4,1301.13,Optimal
tc,25,5,1871.15,Optimal
tc,30,1,36000,Feasible
tc,30,2,36000,Feasible
tc,30,3,36000,Feasible
tc,30,4,13489.1,Optimal
tc,30,5,36000,Feasible
te,20,1,2055.89,Optimal
te,20,2,16391.8,Optimal
te,20,3,901.16,Optimal
te,20,4,3263.59,Optimal
te,20,5,36000,Feasible
te,25,1,36000,Feasible
te,25,2,36000,Feasible
te,25,3,36000,Feasible
te,25,4,36000,Feasible
te,25,5,36000,Feasible
te,30,1,36000,Feasible
te,30,2,36000,Feasible
te,30,3,36000,Feasible
te,30,4,36000,Feasible
te,30,5,36000,Feasible
