type,size,repetition,time,status
tc,20,1,2959.33,Optimal
tc,20,2,32002.2,Optimal
tc,20,3,5572.37,Optimal
tc,20,4,312.07,Optimal
tc,20,5,5241.87,Optimal
tc,25,1,36000,Feasible
tc,25,2,36000,Feasible
tc,25,3,36000,Feasible
tc,25,4,36000,Feasible
tc,25,5,36000,Feasible
tc,30,1,36000,Feasible
tc,30,2,36000,Feasible
tc,30,3,36000,Feasible
tc,30,4,36000,Feasible
tc,30,5,36000,Feasible
te,20,1,36000,Feasible
te,20,2,36000,Feasible
te,20,3,36000,Feasible
te,20,4,36000,Feasible
te,20,5,36000,Feasible
te,25,1,36000,Feasible
te,25,2,36000,Feasible
te,25,3,36000,Feasible
te,25,4,36000,Feasible
te,25,5,36000,Feasible
te,30,1,36000,Feasible
te,30,2,36000,Feasible
te,30,3,36000,Feasible
te,30,4,36000,Feasible
te,30,5,36000,Feasible
