type,size,repetition,time,status
tc,10,1,0.09,Optimal
tc,10,2,0.06,Optimal
tc,10,3,0.09,Optimal
tc,10,4,0.06,Optimal
tc,10,5,0.06,Optimal
tc,15,1,1.44,Optimal
tc,15,2,1.63,Optimal
tc,15,3,5.84,Optimal
tc,15,4,1.24,Optimal
tc,15,5,1.78,Optimal
tc,20,1,464.58,Optimal
tc,20,2,21636.5,Optimal
tc,20,3,36000,Feasible
tc,20,4,373.57,Optimal
tc,20,5,22.75,Optimal
te,10,1,1.1,Optimal
te,10,2,0.27,Optimal
te,10,3,0.9,Optimal
te,10,4,1.1,Optimal
te,10,5,0.86,Optimal
te,15,1,15.83,Optimal
te,15,2,14.82,Optimal
te,15,3,65.18,Optimal
te,15,4,519.43,Optimal
te,15,5,25.16,Optimal
te,20,1,8986.86,Optimal
te,20,2,159.23,Optimal
te,20,3,36000,Feasible
te,20,4,36000,Feasible
te,20,5,36000,Feasible
