type,size,repetition,time,status
tc,10,1,0.32,Optimal
tc,10,2,0.11,Optimal
tc,10,3,0.28,Optimal
tc,10,4,0.32,Optimal
tc,10,5,0.13,Optimal
tc,15,1,16.91,Optimal
tc,15,2,14.36,Optimal
tc,15,3,31.34,Optimal
tc,15,4,23.35,Optimal
tc,15,5,12.94,Optimal
tc,20,1,36000,Feasible
tc,20,2,36000,Feasible
tc,20,3,36000,Feasible
tc,20,4,23078.3,Optimal
tc,20,5,3047.73,Optimal
te,10,1,5.16,Optimal
te,10,2,0.8,Optimal
te,10,3,3.63,Optimal
te,10,4,4.53,Optimal
te,10,5,2.04,Optimal
te,15,1,68.94,Optimal
te,15,2,240.62,Optimal
te,15,3,1435.61,Optimal
te,15,4,4201.46,Optimal
te,15,5,178.46,Optimal
te,20,1,36000,Feasible
te,20,2,3740.83,Optimal
te,20,3,36000,Feasible
te,20,4,36000,Feasible
te,20,5,36000,Feasible
