size,layers,interval,repetition,algorithm,start,stop,step,pp_time,arcs,nnodes,dual,primal,gap,status,time
100,10,0.3,1,exact,0,0,0,0,910,5749,2057.81,2357,12.6939,Feasible,3600
100,10,0.3,1,faolp,0,0,0,4,273,0,0,2360,0,heuristic,3604
100,10,0.3,1,faolr,0,0,0,10,272,0,0,2359,0,heuristic,3600
100,10,0.3,1,faosp,0,0,0,4,102,0,0,2702,0,heuristic,4
100,10,0.3,1,vnd,0,0,0,0,910,0,0,2460,0,heuristic,246
100,10,0.3,2,exact,0,0,0,0,910,20182,4539.83,4790,5.22273,Feasible,3600
100,10,0.3,2,faolp,0,0,0,3,265,0,0,4797,0,heuristic,137
100,10,0.3,2,faolr,0,0,0,8,265,0,0,4797,0,heuristic,145
100,10,0.3,2,faosp,0,0,0,3,103,0,0,5698,0,heuristic,4
100,10,0.3,2,vnd,0,0,0,0,910,0,0,4867,0,heuristic,246
100,10,0.3,3,exact,0,0,0,0,910,36805,3876.73,3917,1.02799,Feasible,3600
100,10,0.3,3,faolp,0,0,0,4,265,0,0,3917,0,heuristic,149
100,10,0.3,3,faolr,0,0,0,8,265,0,0,3917,0,heuristic,156
100,10,0.3,3,faosp,0,0,0,4,104,0,0,4397,0,heuristic,4
100,10,0.3,3,vnd,0,0,0,0,910,0,0,4100,0,heuristic,366
100,10,0.3,4,exact,0,0,0,0,910,15955,3901.58,4215,7.43574,Feasible,3600
100,10,0.3,4,faolp,0,0,0,3,263,0,0,4219,0,heuristic,2928
100,10,0.3,4,faolr,0,0,0,8,263,0,0,4219,0,heuristic,3004
100,10,0.3,4,faosp,0,0,0,4,101,0,0,4869,0,heuristic,4
100,10,0.3,4,vnd,0,0,0,0,910,0,0,4261,0,heuristic,246
100,10,0.3,5,exact,0,0,0,0,910,9464,5301.41,6140,13.6579,Feasible,3600
100,10,0.3,5,faolp,0,0,0,3,286,0,0,6150,0,heuristic,2814
100,10,0.3,5,faolr,0,0,0,8,286,0,0,6150,0,heuristic,2902
100,10,0.3,5,faosp,0,0,0,4,105,0,0,7570,0,heuristic,4
100,10,0.3,5,vnd,0,0,0,0,910,0,0,6525,0,heuristic,246
100,10,0.6,1,exact,0,0,0,0,910,4723,1302.9,1303,0.00792226,Optimal,359
100,10,0.6,1,faolp,0,0,0,2,190,0,0,1308,0,heuristic,35
100,10,0.6,1,faolr,0,0,0,6,191,0,0,1308,0,heuristic,25
100,10,0.6,1,faosp,0,0,0,4,107,0,0,1598,0,heuristic,4
100,10,0.6,1,vnd,0,0,0,0,910,0,0,1305,0,heuristic,245
100,10,0.6,2,exact,0,0,0,0,910,4177,3678.66,3679,0.00927271,Optimal,380
100,10,0.6,2,faolp,0,0,0,2,186,0,0,3684,0,heuristic,17
100,10,0.6,2,faolr,0,0,0,4,186,0,0,3684,0,heuristic,20
100,10,0.6,2,faosp,0,0,0,4,104,0,0,4388,0,heuristic,4
100,10,0.6,2,vnd,0,0,0,0,910,0,0,3679,0,heuristic,305
100,10,0.6,3,exact,0,0,0,0,910,1430,1551,1551,0,Optimal,65
100,10,0.6,3,faolp,0,0,0,2,195,0,0,1563,0,heuristic,8
100,10,0.6,3,faolr,0,0,0,4,195,0,0,1563,0,heuristic,10
100,10,0.6,3,faosp,0,0,0,3,100,0,0,2154,0,heuristic,3
100,10,0.6,3,vnd,0,0,0,0,910,0,0,1551,0,heuristic,246
100,10,0.6,4,exact,0,0,0,0,910,6266,3382.68,3383,0.00959211,Optimal,479
100,10,0.6,4,faolp,0,0,0,2,203,0,0,3383,0,heuristic,20
100,10,0.6,4,faolr,0,0,0,5,203,0,0,3383,0,heuristic,23
100,10,0.6,4,faosp,0,0,0,4,103,0,0,3830,0,heuristic,4
100,10,0.6,4,vnd,0,0,0,0,910,0,0,3383,0,heuristic,306
100,10,0.6,5,exact,0,0,0,0,910,2842,2997.71,2998,0.00978284,Optimal,248
100,10,0.6,5,faolp,0,0,0,2,194,0,0,2998,0,heuristic,14
100,10,0.6,5,faolr,0,0,0,4,194,0,0,2998,0,heuristic,17
100,10,0.6,5,faosp,0,0,0,3,101,0,0,3605,0,heuristic,4
100,10,0.6,5,vnd,0,0,0,0,910,0,0,2998,0,heuristic,246
100,10,0.9,1,exact,0,0,0,0,910,0,265,265,0,Optimal,3
100,10,0.9,1,faolp,0,0,0,1,146,0,0,265,0,heuristic,1
100,10,0.9,1,faolr,0,0,0,2,146,0,0,265,0,heuristic,2
100,10,0.9,1,faosp,0,0,0,2,101,0,0,311,0,heuristic,3
100,10,0.9,1,vnd,0,0,0,0,910,0,0,265,0,heuristic,16
100,10,0.9,2,exact,0,0,0,0,910,85,1005,1005,0,Optimal,6
100,10,0.9,2,faolp,0,0,0,2,136,0,0,1005,0,heuristic,2
100,10,0.9,2,faolr,0,0,0,3,136,0,0,1005,0,heuristic,3
100,10,0.9,2,faosp,0,0,0,2,105,0,0,1048,0,heuristic,2
100,10,0.9,2,vnd,0,0,0,0,910,0,0,1005,0,heuristic,24
100,10,0.9,3,exact,0,0,0,0,910,0,519,519,0,Optimal,4
100,10,0.9,3,faolp,0,0,0,1,138,0,0,519,0,heuristic,1
100,10,0.9,3,faolr,0,0,0,2,138,0,0,519,0,heuristic,2
100,10,0.9,3,faosp,0,0,0,3,102,0,0,538,0,heuristic,3
100,10,0.9,3,vnd,0,0,0,0,910,0,0,519,0,heuristic,21
100,10,0.9,4,exact,0,0,0,0,910,67,1312,1312,0,Optimal,9
100,10,0.9,4,faolp,0,0,0,2,138,0,0,1312,0,heuristic,2
100,10,0.9,4,faolr,0,0,0,3,138,0,0,1312,0,heuristic,4
100,10,0.9,4,faosp,0,0,0,3,105,0,0,1457,0,heuristic,3
100,10,0.9,4,vnd,0,0,0,0,910,0,0,1312,0,heuristic,38
100,10,0.9,5,exact,0,0,0,0,910,0,1063,1063,0,Optimal,4
100,10,0.9,5,faolp,0,0,0,2,149,0,0,1063,0,heuristic,2
100,10,0.9,5,faolr,0,0,0,3,149,0,0,1063,0,heuristic,3
100,10,0.9,5,faosp,0,0,0,3,103,0,0,1223,0,heuristic,3
100,10,0.9,5,vnd,0,0,0,0,910,0,0,1063,0,heuristic,20
100,25,0.3,1,exact,0,0,0,0,1900,0,632,632,0,Optimal,5
100,25,0.3,1,faolp,0,0,0,2,205,0,0,632,0,heuristic,3
100,25,0.3,1,faolr,0,0,0,5,203,0,0,632,0,heuristic,6
100,25,0.3,1,faosp,0,0,0,8,100,0,0,721,0,heuristic,8
100,25,0.3,1,vnd,0,0,0,0,1900,0,0,632,0,heuristic,30
100,25,0.3,2,exact,0,0,0,0,1900,15,2870.78,2871,0.0077777,Optimal,11
100,25,0.3,2,faolp,0,0,0,2,242,0,0,2871,0,heuristic,4
100,25,0.3,2,faolr,0,0,0,7,242,0,0,2871,0,heuristic,8
100,25,0.3,2,faosp,0,0,0,9,100,0,0,3062,0,heuristic,9
100,25,0.3,2,vnd,0,0,0,0,1900,0,0,2871,0,heuristic,106
100,25,0.3,3,exact,0,0,0,0,1900,0,1229,1229,0,Optimal,7
100,25,0.3,3,faolp,0,0,0,2,203,0,0,1244,0,heuristic,3
100,25,0.3,3,faolr,0,0,0,5,203,0,0,1244,0,heuristic,6
100,25,0.3,3,faosp,0,0,0,8,101,0,0,1309,0,heuristic,8
100,25,0.3,3,vnd,0,0,0,0,1900,0,0,1229,0,heuristic,34
100,25,0.3,4,exact,0,0,0,0,1900,0,2024,2024,0,Optimal,9
100,25,0.3,4,faolp,0,0,0,2,247,0,0,2024,0,heuristic,3
