name,n,I,k,type,LB,UB,GAP,nCuts,nNodes,time1,nSecondStage,time2
C102,25,2,3,1,188.595,188.612,0,10,20810,34.46,30,3.42
C102,25,3,3,1,188.23,188.249,0,22,3284,28.06,154,21.25
C102,25,4,3,1,3204.32,3204.32,0,3,7,8.17,45,7.7
C102,25,5,3,1,3388.76,3388.76,0,3,0,16.25,93,15.91
C102,50,2,5,1,354.15,360.064,1.6427,13,301192,5096.9,39,108.78
C102,50,3,5,1,355.247,360.064,1.33786,6,205223,4370.78,42,137.04
C102,50,4,5,1,368.916,368.916,0,3,783,210.15,45,132.38
C102,50,5,5,1,364.834,364.87,0,5,47559,1089.79,155,333.29
C103,25,2,3,1,188.593,188.612,0,5,663082,1214.25,15,1.74
C103,25,3,3,1,240.377,240.396,0,5,26894,19.06,35,4.69
C103,25,4,3,1,193.134,193.134,0,9,5123,51.59,135,42.91
C103,25,5,3,1,2578.87,2578.87,-1.76336e-14,3,148,21.04,93,19.9
C103,50,2,4,1,1e+75,NaN,100,0,0,1.26,0,0
C103,50,3,4,1,283.451,NaN,100,0,278764,3593.1,0,0
C103,50,4,4,1,280.698,NaN,100,0,341842,3560.95,0,0
C103,50,5,4,1,282.765,NaN,100,0,367341,3550.96,0,0
C105,25,2,3,1,189.688,189.688,0,6,7,2.49,18,2
C105,25,3,3,1,188.924,188.924,0,8,5,7.11,56,6.72
C105,25,4,3,1,186.688,186.688,0,2,0,4.14,30,3.92
C105,25,5,3,1,5844.08,5844.08,0,2,0,8.68,62,8.49
C105,50,2,5,1,1e+75,NaN,100,1,0,18.32,3,2.14
C105,50,3,5,1,1e+75,NaN,100,1,0,29.06,7,7.66
C105,50,4,5,1,359.525,359.525,0,2,0,117.85,30,41.63
C105,50,5,5,1,1e+75,NaN,100,1,0,133.39,31,50.78
C106,25,2,3,1,189.688,189.688,0,4,7,1.85,12,1.29
C106,25,3,3,1,188.924,188.924,0,6,6,5.49,42,4.98
C106,25,4,3,1,186.688,186.688,0,2,0,3.94,30,3.79
C106,25,5,3,1,5852.82,5852.82,0,2,0,8.44,62,8.15
C106,50,2,5,1,1e+75,NaN,100,1,0,16.94,3,2.15
C106,50,3,5,1,1e+75,NaN,100,1,1,33.69,7,7.66
C106,50,4,5,1,359.525,359.525,0,2,0,118.98,30,41.46
C106,50,5,5,1,1e+75,NaN,100,1,0,133.23,31,50.37
C108,25,2,3,1,190.91,190.915,0,17,2846,12.47,51,5.81
C108,25,3,3,1,188.92,188.924,0,12,1531,17.16,84,10.77
C108,25,4,3,1,4485.46,4485.46,0,2,1774,7.66,30,4.31
C108,25,5,3,1,3961.18,3961.18,0,2,0,12.16,62,11.77
C108,50,2,5,1,290.834,NaN,100,0,280180,3596.2,0,0
C108,50,3,5,1,299.915,NaN,100,0,231664,3593.17,0,0
C108,50,4,5,1,287.489,NaN,100,0,321007,3600.11,0,0
C108,50,5,5,1,323.321,NaN,100,0,234642,3601.15,0,0
R102,25,2,7,1,656.993,656.993,0,3,1380,8.99,9,1.73
R102,25,3,7,1,545,545.049,0,12,37558,73.39,84,26.36
R102,25,4,7,1,502.402,502.451,0,8,497572,1334.52,120,46.4
R102,25,5,7,1,491.512,491.561,0,13,365273,1228.22,403,159.57
R102,50,2,12,1,800.26,NaN,100,0,68917,3602.64,0,0
R102,50,3,12,1,824.243,NaN,100,0,71813,3601.61,0,0
R102,50,4,12,1,1e+75,NaN,100,1,149414,3164.01,15,51.48
R102,50,5,12,1,796.914,NaN,100,0,100698,3595.03,0,0
R103,25,2,5,1,1e+75,NaN,100,1,62054,79.85,3,0.14
R103,25,3,5,1,1e+75,NaN,100,1,16767,25.33,7,0.5
R103,25,4,5,1,1e+75,NaN,100,1,4776,30.63,15,1.66
R103,25,5,5,1,403.596,403.634,0,10,50050,3908.53,310,46.38
R103,50,2,9,1,613.534,NaN,100,0,78873,3596.22,0,0
R103,50,3,9,1,610.154,NaN,100,0,124673,3599.56,0,0
R103,50,4,9,1,602.118,NaN,100,0,133167,3597.97,0,0
