Bourbon tratamento Hibrid Pacamara
4 V-60 2 2
3 V-60 4 4
4 V-60 2 3
4 V-60 3 2
4 V-60 4 4
4 V-60 3 5
4 V-60 3 4
4 V-60 3 3
1 V-60 2 5
3 V-60 2 4
3 V-60 2 2
3 V-60 2 3
5 V-60 3 2
4 V-60 2 3
1 V-60 3 3
3 V-60 3 4
4 V-60 2 3
2 V-60 3 3
2 V-60 3 3
3 V-60 5 4
5 V-60 3 4
5 V-60 2 2
5 V-60 5 4
2 V-60 4 4
3 V-60 3 3
4 V-60 4 3
4 V-60 4 3
2 V-60 2 2
3 V-60 5 4
3 V-60 4 2
2 V-60 5 5
3 V-60 3 3
5 V-60 3 5
4 V-60 4 3
5 V-60 2 3
1 V-60 4 4
4 V-60 4 4
3 V-60 3 4
1 V-60 3 2
5 V-60 3 2
2 V-60 2 5
4 V-60 4 4
3 V-60 3 4
4 V-60 4 5
4 V-60 3 5
3 V-60 4 5
3 V-60 4 4
4 V-60 4 2
4 V-60 2 5
5 V-60 4 2
3 V-60 3 3
5 V-60 3 5
5 V-60 4 4
4 V-60 4 4
2 V-60 4 3
3 V-60 4 3
3 V-60 4 4
4 V-60 1 5
4 V-60 4 3
5 V-60 3 3
2 V-60 4 5
4 V-60 4 3
2 V-60 2 3
1 V-60 3 4
4 V-60 3 4
5 V-60 2 2
5 V-60 5 2
3 V-60 4 2
4 V-60 5 2
2 V-60 4 4
3 V-60 5 1
2 V-60 4 2
2 V-60 3 4
4 V-60 3 1
4 V-60 3 3
4 V-60 2 5
4 V-60 3 2
3 V-60 4 5
5 V-60 3 3
4 V-60 5 3
5 V-60 3 3
2 V-60 2 5
5 V-60 5 3
5 V-60 5 3
4 V-60 3 1
5 V-60 4 4
5 V-60 5 3
3 V-60 3 5
4 V-60 5 4
5 V-60 4 2
3 Filtrado 3 4
2 Filtrado 4 3
4 Filtrado 2 5
4 Filtrado 2 1
3 Filtrado 4 4
3 Filtrado 3 4
4 Filtrado 4 4
4 Filtrado 3 3
1 Filtrado 3 5
3 Filtrado 4 4
5 Filtrado 2 1
3 Filtrado 2 3
5 Filtrado 3 2
1 Filtrado 5 3
5 Filtrado 4 5
4 Filtrado 3 4
5 Filtrado 4 5
2 Filtrado 4 3
4 Filtrado 2 1
4 Filtrado 4 3
4 Filtrado 3 4
5 Filtrado 2 3
3 Filtrado 4 3
4 Filtrado 4 4
4 Filtrado 3 5
2 Filtrado 4 3
4 Filtrado 3 4
5 Filtrado 1 2
3 Filtrado 4 4
3 Filtrado 3 3
4 Filtrado 5 4
2 Filtrado 4 3
4 Filtrado 5 3
4 Filtrado 2 4
4 Filtrado 4 4
3 Filtrado 4 4
4 Filtrado 2 4
4 Filtrado 3 4
3 Filtrado 4 3
5 Filtrado 4 3
4 Filtrado 5 4
4 Filtrado 5 4
4 Filtrado 3 3
5 Filtrado 2 5
4 Filtrado 1 4
2 Filtrado 2 5
4 Filtrado 4 4
3 Filtrado 2 3
4 Filtrado 5 4
3 Filtrado 3 3
3 Filtrado 4 3
5 Filtrado 3 5
3 Filtrado 3 5
4 Filtrado 3 4
4 Filtrado 3 4
4 Filtrado 4 4
4 Filtrado 1 3
3 Filtrado 5 4
4 Filtrado 2 4
1 Filtrado 2 3
1 Filtrado 3 4
3 Filtrado 4 3
3 Filtrado 4 4
5 Filtrado 3 4
4 Filtrado 2 3
3 Filtrado 4 3
4 Filtrado 1 4
5 Filtrado 4 3
3 Filtrado 2 3
4 Filtrado 3 3
3 Filtrado 5 5
3 Filtrado 4 2
3 Filtrado 4 4
3 Filtrado 5 2
3 Filtrado 2 2
3 Filtrado 5 3
4 Filtrado 3 4
4 Filtrado 2 3
4 Filtrado 5 4
1 Filtrado 4 5
5 Filtrado 5 4
2 Filtrado 1 5
4 Filtrado 4 5
4 Filtrado 5 2
4 Filtrado 4 1
4 Filtrado 3 3
5 Filtrado 4 3
4 Filtrado 2 4
3 Filtrado 5 3
4 Filtrado 3 4
3 Prensa 3 4
1 Prensa 2 2
2 Prensa 3 4
3 Prensa 2 5
1 Prensa 3 2
2 Prensa 1 4
2 Prensa 1 3
4 Prensa 1 2
4 Prensa 3 3
3 Prensa 2 3
4 Prensa 1 5
2 Prensa 3 3
3 Prensa 2 3
2 Prensa 1 3
1 Prensa 3 1
2 Prensa 3 3
3 Prensa 1 4
1 Prensa 2 2
2 Prensa 1 3
2 Prensa 3 2
4 Prensa 3 3
4 Prensa 3 2
4 Prensa 4 2
3 Prensa 3 3
2 Prensa 4 1
2 Prensa 5 4
3 Prensa 2 3
5 Prensa 1 4
1 Prensa 3 4
2 Prensa 2 3
4 Prensa 3 3
4 Prensa 3 5
3 Prensa 3 2
3 Prensa 1 5
5 Prensa 3 5
1 Prensa 3 1
3 Prensa 5 4
3 Prensa 1 5
1 Prensa 1 3
4 Prensa 4 1
3 Prensa 3 5
3 Prensa 4 4
4 Prensa 3 4
5 Prensa 1 4
4 Prensa 1 4
3 Prensa 3 3
3 Prensa 2 5
3 Prensa 4 1
1 Prensa 2 4
4 Prensa 5 2
3 Prensa 4 1
3 Prensa 3 3
2 Prensa 4 2
5 Prensa 1 1
3 Prensa 4 3
2 Prensa 4 2
2 Prensa 2 3
3 Prensa 2 1
4 Prensa 5 4
3 Prensa 2 4
4 Prensa 4 3
4 Prensa 3 2
2 Prensa 3 2
2 Prensa 4 2
3 Prensa 2 2
4 Prensa 3 4
5 Prensa 1 2
4 Prensa 3 2
3 Prensa 3 2
1 Prensa 2 2
1 Prensa 4 3
2 Prensa 5 2
3 Prensa 4 4
4 Prensa 4 1
4 Prensa 1 3
3 Prensa 4 5
3 Prensa 2 3
3 Prensa 2 5
3 Prensa 4 3
2 Prensa 4 3
3 Prensa 3 1
3 Prensa 3 3
5 Prensa 3 3
3 Prensa 2 1
3 Prensa 1 3
5 Prensa 4 4
5 Prensa 4 4
4 Prensa 2 3
2 Prensa 4 3
4 Prensa 2 1
1 Espresso 1 1
2 Espresso 4 2
5 Espresso 3 5
4 Espresso 4 1
3 Espresso 2 2
1 Espresso 3 5
2 Espresso 3 3
4 Espresso 1 2
2 Espresso 4 4
2 Espresso 1 3
2 Espresso 2 4
2 Espresso 2 4
3 Espresso 4 2
2 Espresso 1 2
1 Espresso 4 1
4 Espresso 2 4
2 Espresso 3 3
1 Espresso 5 4
1 Espresso 2 2
1 Espresso 4 3
3 Espresso 3 4
4 Espresso 1 5
5 Espresso 3 2
3 Espresso 3 3
1 Espresso 4 2
1 Espresso 3 2
2 Espresso 2 3
3 Espresso 1 5
4 Espresso 2 3
1 Espresso 4 4
3 Espresso 4 4
5 Espresso 4 2
3 Espresso 1 3
2 Espresso 3 3
4 Espresso 3 5
5 Espresso 3 3
2 Espresso 1 3
1 Espresso 4 4
1 Espresso 3 2
3 Espresso 5 1
1 Espresso 2 3
4 Espresso 5 2
2 Espresso 2 1
3 Espresso 4 1
2 Espresso 1 2
3 Espresso 1 4
2 Espresso 4 4
5 Espresso 2 2
1 Espresso 2 2
1 Espresso 2 1
4 Espresso 4 4
2 Espresso 4 4
4 Espresso 3 3
5 Espresso 2 2
2 Espresso 2 2
5 Espresso 2 2
5 Espresso 3 1
4 Espresso 1 5
4 Espresso 3 4
1 Espresso 2 2
1 Espresso 4 5
2 Espresso 4 1
2 Espresso 2 2
4 Espresso 3 2
4 Espresso 3 3
2 Espresso 5 1
4 Espresso 2 3
3 Espresso 4 1
4 Espresso 4 2
2 Espresso 5 1
4 Espresso 3 1
4 Espresso 3 1
4 Espresso 4 4
4 Espresso 4 2
2 Espresso 2 2
4 Espresso 3 4
2 Espresso 2 1
4 Espresso 5 4
4 Espresso 5 5
1 Espresso 2 4
2 Espresso 2 5
1 Espresso 4 3
3 Espresso 3 4
5 Espresso 5 4
3 Espresso 2 5
3 Espresso 1 4
4 Espresso 2 1
3 Espresso 4 2
5 Espresso 5 1
3 Espresso 1 2
