k rho bilex par10 witt sm
10 0.0 0.740 0.692 0.872 0.999
10 0.1 0.703 0.689 0.926 0.913
10 0.2 0.751 0.730 0.952 0.767
10 0.3 0.744 0.737 0.964 0.631
10 0.4 0.714 0.725 0.983 0.543
10 0.5 0.774 0.779 0.993 0.513
10 0.6 0.799 0.799 0.987 0.499
10 0.7 0.779 0.795 0.993 0.503
10 0.8 0.768 0.785 0.997 0.502
10 0.9 0.799 0.817 0.999 0.503
10 1.0 0.822 0.852 0.999 0.503
11 0.0 0.694 0.679 0.919 0.997
11 0.1 0.691 0.692 0.975 0.913
11 0.2 0.732 0.721 0.985 0.748
11 0.3 0.734 0.721 0.993 0.623
11 0.4 0.732 0.729 0.997 0.527
11 0.5 0.721 0.713 0.999 0.500
11 0.6 0.788 0.800 0.999 0.502
11 0.7 0.768 0.797 0.999 0.504
11 0.8 0.797 0.806 0.999 0.510
11 0.9 0.773 0.792 0.999 0.510
11 1.0 0.827 0.824 0.999 0.507
12 0.0 0.672 0.670 0.981 0.999
12 0.1 0.664 0.642 0.981 0.888
12 0.2 0.696 0.686 0.989 0.754
12 0.3 0.709 0.703 0.995 0.591
12 0.4 0.684 0.691 0.997 0.506
12 0.5 0.725 0.734 0.999 0.499
12 0.6 0.748 0.743 0.999 0.506
12 0.7 0.773 0.780 0.999 0.511
12 0.8 0.782 0.785 0.999 0.516
12 0.9 0.770 0.819 0.999 0.509
12 1.0 0.795 0.827 0.999 0.511
13 0.0 0.656 0.650 0.985 0.999
13 0.1 0.664 0.647 0.995 0.874
13 0.2 0.668 0.672 0.997 0.719
13 0.3 0.712 0.708 0.999 0.560
13 0.4 0.687 0.678 0.999 0.505
13 0.5 0.695 0.706 0.997 0.505
13 0.6 0.750 0.744 0.999 0.516
13 0.7 0.737 0.764 0.999 0.533
13 0.8 0.764 0.779 0.999 0.534
13 0.9 0.788 0.800 0.999 0.532
13 1.0 0.773 0.802 0.999 0.523
14 0.0 0.643 0.609 0.993 0.999
14 0.1 0.647 0.628 0.993 0.874
14 0.2 0.647 0.631 0.999 0.679
14 0.3 0.663 0.659 0.999 0.525
14 0.4 0.695 0.683 0.999 0.499
14 0.5 0.673 0.684 0.999 0.516
14 0.6 0.752 0.754 0.999 0.551
14 0.7 0.729 0.730 0.999 0.553
14 0.8 0.737 0.755 0.999 0.553
14 0.9 0.754 0.779 0.999 0.551
14 1.0 0.777 0.809 0.999 0.515
15 0.0 0.641 0.607 0.999 0.999
15 0.1 0.620 0.609 0.999 0.853
15 0.2 0.622 0.616 0.999 0.648
15 0.3 0.677 0.645 0.999 0.517
15 0.4 0.649 0.642 0.999 0.509
15 0.5 0.664 0.678 0.999 0.529
15 0.6 0.708 0.733 0.999 0.554
15 0.7 0.738 0.730 0.999 0.569
15 0.8 0.714 0.727 0.999 0.586
15 0.9 0.760 0.758 0.999 0.572
15 1.0 0.797 0.822 0.999 0.542
16 0.0 0.606 0.586 0.999 0.999
16 0.1 0.615 0.593 0.999 0.847
16 0.2 0.622 0.606 0.999 0.627
16 0.3 0.646 0.642 0.999 0.507
16 0.4 0.665 0.654 0.999 0.510
16 0.5 0.665 0.658 0.999 0.556
16 0.6 0.685 0.684 0.999 0.581
16 0.7 0.701 0.721 0.999 0.610
16 0.8 0.708 0.729 0.999 0.577
16 0.9 0.760 0.764 0.999 0.573
16 1.0 0.764 0.783 0.999 0.530
17 0.0 0.593 0.551 0.999 0.999
17 0.1 0.616 0.591 0.999 0.876
17 0.2 0.604 0.601 0.999 0.596
17 0.3 0.612 0.612 0.999 0.502
17 0.4 0.647 0.645 0.999 0.531
17 0.5 0.649 0.667 0.999 0.581
17 0.6 0.692 0.709 0.999 0.604
17 0.7 0.691 0.696 0.999 0.603
17 0.8 0.677 0.708 0.999 0.602
17 0.9 0.727 0.763 0.999 0.585
17 1.0 0.727 0.773 0.999 0.566
18 0.0 0.577 0.546 0.999 0.999
18 0.1 0.596 0.570 0.999 0.794
18 0.2 0.606 0.585 0.999 0.584
18 0.3 0.603 0.592 0.999 0.499
18 0.4 0.580 0.608 0.999 0.528
18 0.5 0.632 0.630 0.999 0.601
18 0.6 0.635 0.645 0.999 0.644
18 0.7 0.686 0.703 0.999 0.630
18 0.8 0.710 0.747 0.999 0.635
18 0.9 0.723 0.752 0.999 0.586
18 1.0 0.754 0.755 0.999 0.565
19 0.0 0.559 0.534 0.999 0.999
19 0.1 0.586 0.559 0.999 0.829
19 0.2 0.599 0.574 0.999 0.566
19 0.3 0.593 0.602 0.999 0.502
19 0.4 0.609 0.606 0.999 0.562
19 0.5 0.625 0.628 0.999 0.637
19 0.6 0.652 0.648 0.999 0.637
19 0.7 0.649 0.679 0.999 0.648
19 0.8 0.666 0.703 0.999 0.659
19 0.9 0.712 0.729 0.999 0.599
19 1.0 0.743 0.763 0.999 0.581
20 0.0 0.562 0.521 0.999 0.999
20 0.1 0.555 0.538 0.999 0.842
20 0.2 0.559 0.543 0.999 0.531
