k rho bilex par10 witt sm
10 0.0 0.920 0.923 0.999 0.971
10 0.1 0.913 0.914 1.000 0.964
10 0.2 0.915 0.917 1.000 0.968
10 0.3 0.918 0.918 1.000 0.970
10 0.4 0.914 0.916 1.000 0.971
10 0.5 0.916 0.918 1.000 0.964
10 0.6 0.917 0.915 1.000 0.963
10 0.7 0.909 0.911 1.000 0.956
10 0.8 0.910 0.910 1.000 0.934
10 0.9 0.915 0.914 1.000 0.920
10 1.0 0.914 0.916 1.000 0.891
11 0.0 0.927 0.924 1.000 0.974
11 0.1 0.922 0.923 1.000 0.968
11 0.2 0.918 0.918 1.000 0.970
11 0.3 0.918 0.917 1.000 0.972
11 0.4 0.920 0.916 1.000 0.978
11 0.5 0.916 0.914 1.000 0.970
11 0.6 0.919 0.917 1.000 0.962
11 0.7 0.917 0.917 1.000 0.952
11 0.8 0.917 0.913 1.000 0.939
11 0.9 0.913 0.915 1.000 0.924
11 1.0 0.919 0.918 1.000 0.902
12 0.0 0.922 0.927 1.000 0.972
12 0.1 0.928 0.928 1.000 0.966
12 0.2 0.919 0.921 1.000 0.973
12 0.3 0.922 0.918 1.000 0.974
12 0.4 0.921 0.917 1.000 0.979
12 0.5 0.916 0.916 1.000 0.975
12 0.6 0.919 0.917 1.000 0.966
12 0.7 0.911 0.906 1.000 0.960
12 0.8 0.918 0.916 1.000 0.943
12 0.9 0.914 0.916 1.000 0.932
12 1.0 0.912 0.913 1.000 0.925
13 0.0 0.936 0.937 1.000 0.976
13 0.1 0.930 0.929 1.000 0.970
13 0.2 0.921 0.920 1.000 0.974
13 0.3 0.919 0.919 1.000 0.981
13 0.4 0.920 0.919 1.000 0.978
13 0.5 0.917 0.914 1.000 0.975
13 0.6 0.918 0.918 1.000 0.975
13 0.7 0.912 0.916 1.000 0.967
13 0.8 0.919 0.916 1.000 0.951
13 0.9 0.919 0.915 1.000 0.940
13 1.0 0.919 0.918 1.000 0.921
14 0.0 0.938 0.942 1.000 0.977
14 0.1 0.932 0.935 1.000 0.973
14 0.2 0.924 0.926 1.000 0.976
14 0.3 0.920 0.918 1.000 0.984
14 0.4 0.926 0.920 1.000 0.982
14 0.5 0.918 0.919 1.000 0.981
14 0.6 0.917 0.914 1.000 0.976
14 0.7 0.917 0.914 1.000 0.965
14 0.8 0.912 0.912 1.000 0.957
14 0.9 0.915 0.914 1.000 0.948
14 1.0 0.914 0.916 1.000 0.927
15 0.0 0.946 0.952 1.000 0.981
15 0.1 0.937 0.938 1.000 0.973
15 0.2 0.930 0.931 1.000 0.980
15 0.3 0.924 0.922 1.000 0.983
15 0.4 0.918 0.918 1.000 0.985
15 0.5 0.924 0.922 1.000 0.982
15 0.6 0.921 0.917 1.000 0.978
15 0.7 0.915 0.910 1.000 0.973
15 0.8 0.918 0.918 1.000 0.961
15 0.9 0.920 0.916 1.000 0.953
15 1.0 0.918 0.918 1.000 0.944
16 0.0 0.950 0.953 1.000 0.979
16 0.1 0.936 0.938 1.000 0.977
16 0.2 0.929 0.931 1.000 0.979
16 0.3 0.925 0.924 1.000 0.985
16 0.4 0.926 0.926 1.000 0.987
16 0.5 0.922 0.919 1.000 0.986
16 0.6 0.918 0.915 1.000 0.984
16 0.7 0.917 0.914 1.000 0.978
16 0.8 0.921 0.918 1.000 0.961
16 0.9 0.922 0.918 1.000 0.951
16 1.0 0.916 0.912 1.000 0.941
17 0.0 0.955 0.962 1.000 0.981
17 0.1 0.944 0.946 1.000 0.979
